URL,Title
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTE2&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 중국 Tianjin Normal University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTE3&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 미국 Emporia State University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTE4&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 미국 Hawai`i Pacific University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTE5&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 미국 Illinois Institute of Technology
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTIw&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,[북아메리카]미국 Hawai`i Pacific University _ 특별파견
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTIx&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,[북아메리카]미국 Illinois Institute of Technology _ 특별파견
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTIy&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 미국 Oklahoma State University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTIz&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 미국 Otterbein University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTI0&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 미국 The Florida State University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTI1&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 미국 The University of Oklahoma
