country,id,name_eng,name_kor,category,program_category,area,city,score,toeic,toefl_ibt,toefl_itp,ielts,hsk,jlpt,jpt,zd,delf,dele,celi,cils,celpebras,toefl_home,toefl_mbs,specification,lastvisit,toefl_itp_availability,toeic_availability,toefl_mbs
Brazil,E0153,University of Fortaleza,포르탈레자대,자매대학,일반교환,sa,Fortaleza,,800,,,,,,,,,,,,"Intermediario
 Superior",,,"*TOEFL, IELTS 제외",,FALSE,,
Brazil,E0154,Positivo University,포지티보대,자매대학,일반교환,sa,Curitiba,,,,,,,,,,,,,,,,,,,,,
Argentina,E0156,National University of Cuyo,꾸요국립대,자매대학,일반교환,sa,São Paulo,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Argentina,E0157,Universidad de Mendoza,멘도자대,자매대학,일반교환,sa,Mendoza,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Equador,E0158,"Espiritu Santo University, Guayaquil",UEES,자매대학,일반교환,sa,Mendoza,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Equador,E0159,Universidad ECOTEC,에코텍대,자매대학,일반교환,sa,Guayaquil,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Equador,E0160,Universidad International del Ecuador,UIDE,자매대학,일반교환,sa,Samborondón,3.15,,,,,,,,,,B1,,,,,,,,,,
Uruguay,E0161,Universidad Tecnológica,UTEC,자매대학,일반교환,sa,Quito,,800,75,545,5.5,,,,,,,,,,,,,,,,
Chile,E0162,Andrés Bello National University,안드레스벨로대,자매대학,일반교환,sa,El Salvador,,800,75,545,5.5,,,,,,B1,,,,,,,,,,
Chile,E0163,University Finis Terrae,피니스테래대,자매대학,일반교환,sa,Santiago,,,,,,,,,,,B2,,,,,,,,,,
Columbia,E0164,The University of La Sabana,라사바나대,자매대학,일반교환,sa,Santiago,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Peru,E0165,St. Ignacio de Loyola University,USIL,자매대학,일반교환,sa,Cundinamarca,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Peru,E0166,Peruvian University of Applied Sciences,페루 UPC,자매대학,일반교환,sa,Lima,,800,75,545,5.5,,,,,,,,,,,,,,,,
Tunisia,E0167,The University of Carthage,카르타고대,자매대학,일반교환,africa,Lima,,800,75,545,5.5,,,,,,,,,,,,,,,,
Taiwan,E0168,National Central University(國立中央大學),국립중앙대,자매대학,일반교환,asia,Tunis,,750,70,,,4,,,,,,,,,,,*IELTS 제외,,FALSE,,
